seed,lat_mean,lat_p99,thp_total,jain,sla_viol,cre
1001,7.889601751930674,38.3688152256519,458.6886549734248,0.4900616095202016,35.0,55.0
1002,8.378809682488821,47.77656753736353,406.77612393434543,0.4434478401103349,35.0,55.0
1003,7.613714080271845,46.87611435211234,438.93317083070156,0.4491561270794822,35.0,55.0
1004,6.626233979631661,46.16323639557156,485.2681350668607,0.44429734433980694,35.0,55.0
1005,5.629434582113951,41.57036048824537,428.87204828798605,0.5197725474380852,35.0,55.0
1006,6.231577402861856,45.50770941774354,433.3408561984792,0.493612686771187,35.0,55.0
1007,8.917656125552536,45.92266948679332,470.9712726179836,0.4943380391799898,35.0,55.0
1008,8.554432736218704,32.68133846432803,386.84767562776267,0.4749131529383696,35.0,55.0
1009,7.053822330011546,50.12403580329995,374.114236725012,0.5478755746192441,35.0,55.0
1010,5.120299628452031,48.042709371319845,359.5414950356726,0.49127638623902464,35.0,55.0
1011,7.157113333461732,45.59507580742192,397.81553845329876,0.4748892588977095,35.0,55.0
1012,7.671873406376372,36.66753122110627,464.8407823262905,0.4620173630691566,35.0,55.0
1013,7.542352189722666,54.279786483419926,473.51307974360674,0.4913791795920415,35.0,55.0
1014,6.551336569049941,46.737935744615704,413.8035735498166,0.499529249221651,35.0,55.0
1015,8.167365169756835,44.84815672231249,453.84168127980274,0.4655489712199866,35.0,55.0
1016,7.215839358096496,48.90130271822169,390.724476179696,0.512651600225092,35.0,55.0
1017,8.714408988127069,52.05454317099649,434.06131582474694,0.45281063631426605,35.0,55.0
1018,7.749377610886024,57.84817055208808,352.23813348493275,0.5479108844198062,35.0,55.0
1019,6.5657893179107765,41.66969927508532,423.92404257981724,0.437039139146731,35.0,55.0
1020,6.378795014111881,52.36891576559849,432.4342478674001,0.3743958531670295,35.0,55.0
1021,6.3358009051469155,43.759376971704555,452.45489711898813,0.5332969252318563,35.0,55.0
1022,7.860810522811369,32.16794122509509,453.6985087837249,0.4669239677862483,35.0,55.0
1023,8.331222030244076,51.728176309122425,390.1684094880978,0.4741226295079037,35.0,55.0
1024,7.285504544456646,49.57991637322255,438.29353934414536,0.470946293311267,35.0,55.0
1025,8.251098125874256,42.02897409058203,416.64572823909765,0.533901154214633,35.0,55.0
1026,7.259771441788656,45.756302306815286,343.87864270897046,0.5053622981371925,35.0,55.0
1027,8.143688453023577,53.16215742808947,395.8578559352557,0.3978155146288327,35.0,55.0
1028,7.202647215326093,37.31704821756239,446.424038778873,0.4572789706935333,35.0,55.0
1029,7.184542480622125,42.81575865046152,398.58087802032446,0.4893353032928209,35.0,55.0
1030,6.062955545130517,40.81789539954946,396.52946953753053,0.4821520465993982,35.0,55.0
