Level,Name,UEs,xApps,Actions_Per_Sec,Total_Actions,Total_Conflicts,Total_Resolutions,Throughput_Actions_Sec,Latency_Mean_ms,Latency_P95_ms,Latency_P99_ms,Latency_Max_ms,Near_RT_Compliant
L0,Baixo,30,3,5,50,46,3,50000.0,0.01,0.02,0.06,0.08,True
L1,Moderado,60,3,10,100,96,2,100000.0,0.02,0.02,0.04,0.06,True
L2,Alto,120,5,25,250,295,2,102623.04,0.05,0.06,0.06,0.07,True
L3,Severo,240,8,50,500,594,3,73547.8,0.14,0.26,0.56,0.82,True
L4,Extremo,500,10,100,1000,2784,3,44686.75,0.45,0.77,1.01,1.08,True
