seed,source,lat_mean,lat_p99,thp_total,jain,pdr_pct,sla_viol,cre
1001,DISCRETE_EVENT_SIMULATOR,10.0,10.0,46.74,0.4106,100.0,100.0,0.0
1002,DISCRETE_EVENT_SIMULATOR,10.0,10.0,46.74,0.4106,100.0,100.0,0.0
1003,DISCRETE_EVENT_SIMULATOR,10.0,10.0,46.74,0.4106,100.0,100.0,0.0
1004,DISCRETE_EVENT_SIMULATOR,10.0,10.0,46.74,0.4106,100.0,100.0,0.0
1005,DISCRETE_EVENT_SIMULATOR,10.0,10.0,46.74,0.4106,100.0,100.0,0.0
