seed,lat_mean,lat_p99,thp_total,jain,sla_viol,cre
1001,5.092466481782876,16.538377578373723,647.052890481319,0.6464283016912811,12.0,78.0
1002,5.580545252343126,23.365612115319916,671.768092734575,0.7226131980502825,12.0,78.0
1003,4.527865173137028,16.857530638510397,609.7916555691922,0.7064961008048352,12.0,78.0
1004,5.012949220312093,20.62796572733436,669.8784413477296,0.7236789537942788,12.0,78.0
1005,5.76600638670448,17.315549536997636,619.0177440454935,0.700583619876184,12.0,78.0
1006,4.67644187218216,16.03764469885057,618.7218223980267,0.7129446943196945,12.0,78.0
1007,4.829751737541925,15.915605051685532,594.0228595082308,0.806910027527017,12.0,78.0
1008,5.3795426258162085,16.84142876655716,620.3396259523661,0.695996471584185,12.0,78.0
1009,4.892851681747922,17.23023824208055,723.482470171457,0.7331691065980613,12.0,78.0
1010,5.722431105208325,17.365966093696052,717.4483510951711,0.6918199910562508,12.0,78.0
1011,4.72616750845337,22.75127702858404,666.4936662764414,0.7283668366576155,12.0,78.0
1012,5.884354201524228,15.023431933488492,677.0155616050337,0.6737723217374934,12.0,78.0
1013,4.769517418490981,13.7856271509844,699.0537694929476,0.6782228720701272,12.0,78.0
1014,4.742852974463202,17.324815351759284,711.9640361208528,0.7257102631240928,12.0,78.0
1015,5.709095181036891,15.376832757995482,663.9948562046526,0.6826274027487194,12.0,78.0
1016,4.784584408521618,20.477458346879494,635.9317052202769,0.7452607462234396,12.0,78.0
1017,5.259012976318306,18.72207876170243,736.0810451360928,0.7144062010940394,12.0,78.0
1018,4.801970909016274,13.17866225467689,604.5096263923401,0.6792740055848672,12.0,78.0
1019,5.497189179497917,20.287699448401327,583.034507937323,0.7689878162047665,12.0,78.0
1020,4.987505099114308,20.0099336879877,750.3512322515111,0.7056777039512346,12.0,78.0
1021,6.138969857284027,19.38122711215068,663.6554717758653,0.7002924240988138,12.0,78.0
1022,4.92981832579271,16.770029056195323,756.9825691813452,0.7628731603063984,12.0,78.0
1023,4.330567667524984,20.10551433429593,736.7977321381971,0.7308250657725189,12.0,78.0
1024,5.809366719134621,17.594180037069272,701.5325419721485,0.704552894323747,12.0,78.0
1025,5.243503201671695,22.871577725925874,690.0589690607062,0.7405184679418377,12.0,78.0
1026,5.442583595808694,18.645150390311777,706.1119472961559,0.7601151008488016,12.0,78.0
1027,5.437397811344513,16.182138207855104,687.46827571558,0.748888812195371,12.0,78.0
1028,4.5135765063806845,17.296488258394568,690.8227796870431,0.715928073994433,12.0,78.0
1029,5.1407154496247145,17.463643921203786,666.3253981096788,0.7468691690209576,12.0,78.0
1030,4.5149843768445255,19.81864029263003,673.5094081248079,0.7289637220326493,12.0,78.0
