seed,load_balance_eff,thp_total
1001,94.4,55.4
1002,94.4,55.4
1003,94.4,55.4
1004,94.4,55.4
1005,94.4,55.4
1006,94.4,55.4
1007,94.4,55.4
1008,94.4,55.4
1009,94.4,55.4
1010,94.4,55.4
1011,94.4,55.4
1012,94.4,55.4
1013,94.4,55.4
1014,94.4,55.4
1015,94.4,55.4
1016,94.4,55.4
1017,94.4,55.4
1018,94.4,55.4
1019,94.4,55.4
1020,94.4,55.4
1021,94.4,55.4
1022,94.4,55.4
1023,94.4,55.4
1024,94.4,55.4
1025,94.4,55.4
1026,94.4,55.4
1027,94.4,55.4
1028,94.4,55.4
1029,94.4,55.4
1030,94.4,55.4
